RespondentID;age;gender;country;federalState;psychosocialWorker;News_Sensitivity;Lang_Sensitivity;NewsWorry;NewsBoundaries;LangHighSensitivity;LangLowSensitivity;softDeathInjNums;verySoftDeathInjNums;newsConsumptionFrequency;newsConsumptionFrequency_numbered;p1_f_avg;p1_f_med;p1_lI_avg;p1_lI_med;p1_cB_avg;p1_cB_med;p2_f_avg;p2_f_med;p2_lI_avg;p2_lI_med;p2_cB_avg;p2_cB_med;p3_f_avg;p3_f_med;p3_lI_avg;p3_lI_med;p3_cB_avg;p3_cB_med;p4_f_avg;p4_f_med;p4_lI_avg;p4_lI_med;p4_cB_avg;p4_cB_med;p5_f_avg;p5_f_med;p5_lI_avg;p5_lI_med;p5_cB_avg;p5_cB_med;p6_f_avg;p6_f_med;p6_lI_avg;p6_lI_med;p6_cB_avg;p6_cB_med;p7_f_avg;p7_f_med;p7_lI_avg;p7_lI_med;p7_cB_avg;p7_cB_med;p8_f_avg;p8_f_med;p8_lI_avg;p8_lI_med;p8_cB_avg;p8_cB_med;p9_f_avg;p9_f_med;p9_lI_avg;p9_lI_med;p9_cB_avg;p9_cB_med;p10_f_avg;p10_f_med;p10_lI_avg;p10_lI_med;p10_cB_avg;p10_cB_med;p11_f_avg;p11_f_med;p11_lI_avg;p11_lI_med;p11_cB_avg;p11_cB_med;p12_f_avg;p12_f_med;p12_lI_avg;p12_lI_med;p12_cB_avg;p12_cB_med;p13_f_avg;p13_f_med;p13_lI_avg;p13_lI_med;p13_cB_avg;p13_cB_med;p14_f_avg;p14_f_med;p14_lI_avg;p14_lI_med;p14_cB_avg;p14_cB_med;p15_f_avg;p15_f_med;p15_lI_avg;p15_lI_med;p15_cB_avg;p15_cB_med;p16_f_avg;p16_f_med;p16_lI_avg;p16_lI_med;p16_cB_avg;p16_cB_med;p17_f_avg;p17_f_med;p17_lI_avg;p17_lI_med;p17_cB_avg;p17_cB_med;p18_f_avg;p18_f_med;p18_lI_avg;p18_lI_med;p18_cB_avg;p18_cB_med
67e2c0045c3068112fc03fac;27;male;at;OÖ;false;-2;2;0;2;1;-1;1;2;lessThanOnceWeekly;1;2.6580882352941178;3;1.1801470588235294;1;3.838235294117647;4;2.53125;3;0.5625;1;3.09375;3;2.605769230769231;3;0.5769230769230769;0.75;3.1826923076923075;3;2.25;2.25;1.5;1.5;3.75;3.75;1.78125;1.6875;0.7723214285714286;0.5625;2.5535714285714284;2.25;1.9832589285714286;2.125;0.8024553571428571;0.75;2.7857142857142856;3;1.8;1.6875;0.65;0.5625;2.45;2.25;1.5703125;1.6875;0.6147836538461539;0.5625;2.1850961538461537;2.25;2.0511363636363638;2;0.8693181818181818;1;2.9204545454545454;3;2.2556818181818183;2.25;0.8693181818181818;1;3.125;3;1.656875;1.5;0.913125;1;2.57;2;-1000;-1000;-1000;-1000;-1000;-1000;1.834375;1.84375;0.76640625;0.75;2.60078125;2.625;1.8511029411764706;1.6875;0.8318014705882353;1;2.682904411764706;2.25;1.6823381696428572;1.6875;0.8490978422619048;0.5625;2.531436011904762;2.25;1.8608224051339286;1.6875;0.6202741350446429;0.5625;2.4810965401785716;2.25;1.8548177083333333;1.6875;0.8025173611111112;0.5625;2.6573350694444446;2.25;1.3615451388888888;1.59375;0.642578125;0.5625;2.004123263888889;2.25
67e32338ff1fb9a2cda46d9d;33;female;at;OÖ;true;1;1;1;0;0;-1;1;1;never;0;0.6973684210526315;0;0.743421052631579;1;1.4407894736842106;1.5;0.5833333333333334;0;-0.057291666666666664;-0.875;0.5260416666666666;0.65625;1.3125;1.375;-0.22395833333333334;-0.65625;1.0885416666666667;1;0.90625;0.78125;0.96875;0.65625;1.875;1.6875;0.5267857142857143;0;0.7678571428571429;0.75;1.2946428571428572;0.84375;0.8169642857142857;1;0.5072544642857143;0.75;1.32421875;1.125;0.3;0;0.74951171875;0.65625;1.04951171875;0.65625;0.375;0;1.150390625;0.9375;1.525390625;2;0.75;1;1.2443181818181819;1.5;1.9943181818181819;2;0.5859375;0;1.3385416666666667;1.0625;1.9244791666666667;2;0.245625;0;1.39625;1.125;1.641875;1.6875;-1000;-1000;-1000;-1000;-1000;-1000;0.73828125;0.421875;1.1390625;1;1.87734375;1.5;0.3170955882352941;0;0.7334558823529411;1;1.0505514705882353;1.125;0.48139880952380953;0.421875;0.6807105654761905;0.84375;1.162109375;1.125;0.7895220588235294;1;0.5078412224264706;0.5625;1.29736328125;1.6875;0.4798519736842105;0.31640625;0.8213404605263158;1;1.3011924342105263;1.125;0.6659307065217391;0.31640625;0.8834918478260869;1;1.5494225543478262;1.5
67e3cb8a6696ed6564ab11b7;25;female;at;NÖ;false;-1;-1;-1;0;-1;0;2;3;oneToThreeTimesWeekly;2;1.5183823529411764;1.5;1.1397058823529411;1;2.6580882352941178;3;1.8392857142857142;2;0.9107142857142857;1;2.75;3;2.301470588235294;2.25;0.6102941176470589;0.75;2.911764705882353;2.25;1.4375;1.3125;0.65625;0.5625;2.09375;1.84375;1.2375;0.984375;0.7203125;0.703125;1.9578125;1.6875;0.9278846153846154;0.75;0.9074519230769231;0.75;1.8353365384615385;1.5;1.1127485795454546;0.6328125;0.6922940340909091;0.6328125;1.8050426136363635;1.125;0.6529017857142857;0.5625;0.9651227678571429;0.69140625;1.6180245535714286;1.4765625;1.3425;1;1.2125;1;2.555;2.25;2.03125;2.125;1.03125;1;3.0625;3;1.5863095238095237;1.5;1.1547619047619047;1.125;2.7410714285714284;2.8125;-1000;-1000;-1000;-1000;-1000;-1000;1.81015625;2;1.0796875;1;2.88984375;3;1.5944940476190477;1.265625;0.9940476190476191;0.84375;2.5885416666666665;2.109375;1.3103434244791667;1.125;0.6587727864583334;0.5625;1.9691162109375;1.6875;1.1463529146634615;1.125;0.8323692908653846;0.5625;1.9787222055288463;1.6875;1.3900669642857142;1.125;0.7399553571428571;0.5625;2.1300223214285716;1.6875;1.5971235795454546;1.59375;0.8696732954545454;0.5625;2.466796875;2.25
67e453a0deffb5b8280b9e97;26;female;at;OÖ;false;2;3;1;-1;1;-2;2;1;daily;4;1.4464285714285714;1.125;1.1726190476190477;1;2.619047619047619;3;1.6636904761904763;2;0.8363095238095238;1;2.5;3;1.946875;2.125;0.875;0.75;2.821875;2.25;1.45;1.5;0.925;1;2.375;2.5;1.3828125;1.265625;0.5859375;0.53125;1.96875;1.6875;1.0877757352941178;1;0.9434742647058824;0.75;2.03125;1.6875;1.1775251116071428;1.037109375;0.7585797991071429;0.5625;1.9361049107142858;1.4765625;1.1764322916666667;1.125;0.7220052083333334;0.59765625;1.8984375;1.6875;1.3267045454545454;1;0.8948863636363636;1;2.221590909090909;2;1.7075;2;0.975;1;2.6825;3;1.1006944444444444;1;0.9010416666666666;1;2.001736111111111;2.5;-1000;-1000;-1000;-1000;-1000;-1000;1.2994791666666667;0.984375;0.7265625;0.75;2.0260416666666665;1.59375;1.2233455882352942;1.125;0.9641544117647058;1;2.1875;2.25;1.246337890625;1.125;0.8062337239583334;0.5625;2.0525716145833335;1.6875;0.98486328125;1;0.6935029871323529;0.5625;1.678366268382353;2.25;1.3950407608695652;1.125;0.8145380434782609;0.5625;2.209578804347826;2.25;1.4209872159090908;1.5;0.662109375;0.75;2.083096590909091;2.25
67e47235ec88eb48fbbe17c8;25;female;at;OÖ;false;-3;3;-1;2;1;-2;3;3;severalTimesDaily;5;2.0243055555555554;2.25;1.0451388888888888;1;3.0694444444444446;3;2.7058823529411766;3;0.2647058823529412;0.75;2.9705882352941178;3;2.5083333333333333;2.25;0.016666666666666666;0.5625;2.525;2.25;1.96875;1.6875;0.71875;0.65625;2.6875;2.25;1.81640625;1.6875;0.69921875;0.5625;2.515625;2.25;1.7302083333333333;1.6875;0.878125;0.75;2.6083333333333334;3;1.9583333333333333;1.6875;0.8194444444444444;0.5625;2.7777777777777777;2.25;1.5868566176470589;1.6875;0.8561580882352942;0.5625;2.443014705882353;2.25;1.89;2;1.25;1;3.14;3;1.7025;2;1.4075;1.5;3.11;3;1.1354166666666667;1;1.3715277777777777;1.125;2.5069444444444446;2.8125;-1000;-1000;-1000;-1000;-1000;-1000;1.424592391304348;1.5;1.158967391304348;1;2.583559782608696;2.25;1.5251358695652173;1.6875;0.9510869565217391;0.84375;2.4762228260869565;2.25;1.3724320023148149;1.265625;0.8933376736111112;0.5625;2.265769675925926;2.25;1.7155354817708333;1.6875;0.5718451605902778;0.5625;2.287380642361111;2.25;1.45263671875;1.4765625;0.9104817708333334;0.5625;2.3631184895833335;2.25;1.2687174479166667;1.6875;0.9716796875;0.75;2.2403971354166665;2.25
67e537e26730f49a0e764766;34;female;at;Vbg;true;-3;1;-2;1;0;-1;2;1;oneToThreeTimesWeekly;2;2.1785714285714284;2.25;0.9464285714285714;0.875;3.125;3;1.9270833333333333;2.125;-0.08680555555555555;-0.65625;1.8402777777777777;2;2.341666666666667;2.25;-0.2916666666666667;-0.75;2.05;1.5;1.96875;1.6875;-0.40625;-0.5625;1.5625;1.5625;1.55859375;1.265625;0.24609375;0.3125;1.8046875;1.59375;1.4967447916666667;1.5;0.8326822916666666;1;2.3294270833333335;2.25;1.19853515625;1.037109375;0.45048828125;0.40625;1.6490234375;1.34375;1.2447916666666667;1.125;0.6979166666666666;0.5625;1.9427083333333333;1.6875;0.9895833333333334;1.0625;1.1197916666666667;1;2.109375;2;1.3392857142857142;1.0625;1.3125;1.25;2.6517857142857144;2;1.3841911764705883;1.125;0.9347426470588235;0.75;2.3189338235294117;2.25;-1000;-1000;-1000;-1000;-1000;-1000;1.1321022727272727;1.125;0.8252840909090909;0.5625;1.9573863636363635;1.6875;1.3480902777777777;1.1953125;0.7491319444444444;0.5625;2.0972222222222223;1.6875;1.4938322368421053;1.265625;0.6805098684210527;0.5625;2.174342105263158;1.6875;1.640625;1.125;0.7924107142857143;0.5625;2.4330357142857144;1.6875;1.640625;1.265625;0.6674107142857143;0.78125;2.3080357142857144;1.6875;0.64208984375;0.5;0.68798828125;0.65625;1.330078125;1.3828125
67e537ef6730f49a0e764767;21;female;at;OÖ;false;3;3;2;-1;2;-1;1;0;fourToSixTimesWeekly;3;1.755952380952381;2;1.2797619047619047;1;3.0357142857142856;3;2.1011904761904763;2;0.7767857142857143;1;2.8779761904761907;3;2.4140625;2.625;0.51171875;0.875;2.92578125;3;2.025;1.6875;0.825;0.5625;2.85;2.25;1.4360795454545454;1.265625;0.6846590909090909;0.5625;2.1207386363636362;2.109375;1.7724609375;1.6875;0.95556640625;0.921875;2.72802734375;2.53125;1.11376953125;1.125;0.7079264322916666;0.5625;1.8216959635416667;1.6875;1.135986328125;1.125;0.984375;0.69140625;2.120361328125;2;1.578804347826087;1.6875;1.502717391304348;1.5;3.0815217391304346;3;1.1193181818181819;1;1.3181818181818181;1.125;2.4375;2.8125;0.8443287037037037;1;1.3344907407407407;1.125;2.1788194444444446;2.109375;-1000;-1000;-1000;-1000;-1000;-1000;1.468070652173913;1.6875;1.158967391304348;1;2.6270380434782608;2.25;1.5101902173913044;1.125;1.203804347826087;1.125;2.713994565217391;2.25;1.1312349759615385;1.125;1.1044921875;1.125;2.2357271634615383;2;1.4802676930147058;1.6875;0.9177676930147058;0.75;2.3980353860294117;2.25;1.5729758522727273;1.59375;1.12109375;1.125;2.694069602272727;2.8125;1.1251775568181819;1.3125;1.0316051136363635;1.125;2.1567826704545454;2.25
67e5421d871c5868d0449830;56;male;at;OÖ;true;3;1;1;-2;-1;-2;2;2;severalTimesDaily;5;2.1041666666666665;2.25;0.8784722222222222;1;2.982638888888889;3;1.7083333333333333;2;0.875;1;2.5833333333333335;3;1.9875;2.25;0.7125;0.75;2.7;2.25;2.025;1.6875;0.675;0.5625;2.7;2.25;1.609375;1.6875;0.5659722222222222;0.5625;2.1753472222222223;2.25;1.2729166666666667;1.5;0.828125;0.75;2.1010416666666667;2.25;1.1590909090909092;1.5;0.6704545454545454;0.5625;1.8295454545454546;2;1.220703125;1.3828125;0.74609375;0.5625;1.966796875;2.25;1.3776041666666667;1.0625;1.0833333333333333;1;2.4609375;3;1.2798913043478262;1.5;1.3423913043478262;1.5;2.6222826086956523;3;0.8969907407407407;1;1.2181712962962963;1;2.115162037037037;2;-1000;-1000;-1000;-1000;-1000;-1000;1.3032670454545454;1.59375;1.0142045454545454;0.921875;2.317471590909091;2.25;1.03828125;0.875;1.05;0.84375;2.08828125;2.25;1.1216634114583333;0.59765625;0.8591715494791666;0.65625;1.9808349609375;1.4765625;1.0905618106617647;1.265625;0.7359978170955882;0.5625;1.826559627757353;2;1.2873046875;0.59765625;0.892578125;0.5625;2.1798828125;1.40625;1.1337002840909092;1.5;0.94921875;0.75;2.082919034090909;2.25
67e5753b6d1f585511c52058;23;male;de;BW;false;-2;1;-1;1;1;0;1;1;daily;4;0.8616071428571429;1;1.4017857142857142;1.5;2.263392857142857;2.125;1.2352941176470589;1;0.23529411764705882;0.75;1.4705882352941178;2;1.6583333333333334;2;0.15833333333333333;0.5625;1.8166666666666667;1.6875;1.625;1.6875;0.625;0.5625;2.25;2.25;0.534375;0.421875;0.740625;0.5625;1.275;1.5;1.2315340909090908;1.5;0.9232954545454546;0.75;2.1548295454545454;2.25;0.53125;0;1.046875;0.9375;1.578125;1.3125;0.6118861607142857;0.158203125;1.0923549107142858;0.984375;1.7042410714285714;1.6875;1.0535714285714286;1.125;0.9732142857142857;1;2.0267857142857144;2;0.9090909090909091;1;0.4744318181818182;1;1.3835227272727273;2;0.71484375;0.703125;1.12109375;1;1.8359375;1.6875;-1000;-1000;-1000;-1000;-1000;-1000;1.0901988636363635;1.0625;0.9275568181818182;0.796875;2.0177556818181817;1.6875;0.8534226190476191;1.125;0.6755952380952381;0.84375;1.5290178571428572;1.6875;1.0191796875;0.84375;0.910859375;0.84375;1.9300390625;1.6875;1.0112141927083333;1.125;0.6547200520833333;0.5625;1.6659342447916667;1.6875;1.5078125;1.6875;0.9123883928571429;1;2.420200892857143;2.25;0.6170176630434783;0;0.5628396739130435;0.5625;1.1798573369565217;1.5
67e5b6d9949e8e08ea2385d4;56;female;at;NÖ;true;-1;-1;0;1;-1;0;0;0;severalTimesDaily;5;1.6666666666666667;2.25;1.0583333333333333;1;2.725;3;1.984375;2.25;0.609375;1;2.59375;3.375;2.4669117647058822;2.25;0.3713235294117647;0.75;2.838235294117647;3;2.025;1.6875;0.675;0.5625;2.7;2.25;1.353515625;1.3828125;0.666015625;0.75;2.01953125;2.0625;1.640625;1.84375;0.9505208333333334;0.796875;2.5911458333333335;2.625;1.3636363636363635;1.5;0.6818181818181818;0.75;2.0454545454545454;2.25;0.826904296875;0.896484375;0.835693359375;0.5625;1.66259765625;1.6875;1.0514705882352942;0.28125;1.2426470588235294;1.125;2.2941176470588234;2;1.4017857142857142;1.6875;1.2797619047619047;1;2.681547619047619;2.8125;0.68125;0;1.2875;1.0625;1.96875;2;-1000;-1000;-1000;-1000;-1000;-1000;0.946875;1;1.1890625;1.125;2.1359375;2;0.7953125;1;0.9234375;0.921875;1.71875;1.875;0.8909505208333334;0.59765625;0.890869140625;0.84375;1.7818196614583333;1.6875;0.5733173076923077;0;0.69775390625;0.5625;1.2710712139423077;1.125;0.94921875;0.5185546875;0.917578125;1;1.866796875;1.6875;0.8308823529411765;0;0.8239889705882353;0.75;1.6548713235294117;1.125
67e6cfdbd05e93deff3c250b;24;female;at;OÖ;false;0;1;-1;-1;0;-1;3;3;fourToSixTimesWeekly;3;1.75;1.75;0.875;0.875;2.625;2.625;2;2;-1;-1;1;1;2.53125;3;-0.53125;-1;2;2;1.0833333333333333;1.125;1.0416666666666667;0.5625;2.125;1.6875;2.125;2.125;1.375;1.375;3.5;3.5;1.8;1.5;0.75;0.75;2.55;2.25;1.575;1.6875;0.6;0.5625;2.175;2.25;1.3058035714285714;1.265625;0.5959821428571429;0.5625;1.9017857142857142;1.6875;0.9642857142857143;1;1.4464285714285714;1.5;2.4107142857142856;2.25;1.2430555555555556;1.125;0.9027777777777778;1;2.1458333333333335;2.25;0.7044270833333334;0.53125;1.0221354166666667;0.875;1.7265625;1.59375;-1000;-1000;-1000;-1000;-1000;-1000;0.98125;0.75;1.2015625;1.3125;2.1828125;1.96875;1.046875;0.984375;0.7421875;0.4921875;1.7890625;1.4765625;1.1770833333333333;1.125;0.6822916666666666;0.5625;1.859375;1.6875;1.484375;1.59375;0.6015625;0.5625;2.0859375;2.25;1.4791666666666667;1.125;0.7534722222222222;0.5625;2.232638888888889;1.6875;1.1119791666666667;1.5;0.66015625;0.5625;1.7721354166666667;2.25
67e6d666aea412b8961b9178;25;female;at;OÖ;true;-2;-1;-1;1;-1;0;2;2;oneToThreeTimesWeekly;2;1.71875;2;0.671875;1;2.390625;2.25;2.1493055555555554;2.25;0.13541666666666666;0.75;2.2847222222222223;2.25;2.183333333333333;2;0.19166666666666668;0.75;2.375;3;1.825;1.6875;0.675;0.5625;2.5;2.25;1.435546875;1.265625;0.408203125;0.3984375;1.84375;1.40625;1.47802734375;1.5;0.67919921875;0.75;2.1572265625;2.25;1.3650251116071428;1.125;0.5271344866071429;0.5625;1.8921595982142858;1.78125;1.1861049107142858;1.125;0.7123325892857143;0.75;1.8984375;1.9375;1.2361111111111112;1.125;0.7743055555555556;0.75;2.0104166666666665;2;1.3;1.5;0.825;0.75;2.125;2.25;1.0296875;1;0.84765625;0.5625;1.87734375;2;-1000;-1000;-1000;-1000;-1000;-1000;1.5355902777777777;1.5;0.7404513888888888;0.75;2.2760416666666665;2.25;1.146139705882353;1.125;0.6865808823529411;0.5625;1.8327205882352942;1.6875;1.3351934523809523;1.125;0.5710565476190477;0.5625;1.90625;1.6875;1.744140625;1.96875;0.748046875;0.75;2.4921875;2.625;1.1774259868421053;1.125;0.5415296052631579;0.5625;1.718955592105263;1.6875;1.2794744318181819;1.125;0.5230823863636364;0.5625;1.8025568181818181;1.6875
67e6f43682b04532296b85a7;41;female;at;OÖ;true;0;4;0;0;2;-2;3;3;oneToThreeTimesWeekly;2;2.4791666666666665;2.25;1.1375;1;3.6166666666666667;4;2.6052631578947367;3;0.10526315789473684;0.75;2.710526315789474;3;2.5390625;2.625;0.078125;0.65625;2.6171875;2.625;1.825;1.6875;0.875;0.5625;2.7;2.25;1.65625;1.6875;0.8020833333333334;0.5625;2.4583333333333335;2.25;1.6261160714285714;1.59375;0.8515625;0.75;2.4776785714285716;2.25;1.5;1.125;0.6666666666666666;0.5625;2.1666666666666665;2.25;1.4674479166666667;1.59375;0.8815104166666666;0.5625;2.3489583333333335;2.25;1.665;1.6875;1.205;1;2.87;3;1.423913043478261;1.125;0.967391304347826;1;2.391304347826087;2.25;1.2604166666666667;1.125;1.2280092592592593;1;2.488425925925926;2.25;-1000;-1000;-1000;-1000;-1000;-1000;1.5611413043478262;1.6875;1.0529891304347827;1;2.614130434782609;2.25;1.6519886363636365;1.6875;0.8963068181818182;0.921875;2.5482954545454546;2.25;1.4259765625;1.265625;0.9157421875;0.84375;2.34171875;2.25;1.74398193359375;1.6875;0.61466064453125;0.5625;2.358642578125;2.25;1.5990767045454546;1.6875;0.8824573863636364;1;2.481534090909091;2.25;1.4300130208333333;1.5;0.7190755208333334;0.5625;2.1490885416666665;2.25
67e858ac63bf22618a9d13c2;48;female;at;W;true;0;0;0;0;-1;-1;2;2;severalTimesDaily;5;1.28125;1.5;0.5868055555555556;1;1.8680555555555556;1.75;2.1875;2.25;0.4375;0.75;2.625;3;2.4609375;3;-0.0546875;-0.21875;2.40625;2.125;1.8515625;1.84375;0.4296875;0.5625;2.28125;2.25;1.9427083333333333;1.6875;0.6232638888888888;0.5625;2.5659722222222223;2.25;1.8893229166666667;1.84375;0.50390625;0.5625;2.3932291666666665;2.25;1.6890625;1.6875;0.1171875;0.3984375;1.80625;1.78125;1.306640625;1.3828125;0.734375;0.375;2.041015625;1.78125;1.1325412326388888;1.125;0.8485785590277778;0.875;1.9811197916666667;2;1.3333333333333333;1;0.9479166666666666;1;2.28125;2;1.0628836495535714;1;1.0477469308035714;1;2.110630580357143;1.84375;-1000;-1000;-1000;-1000;-1000;-1000;1.3633230108963816;1.125;1.1603072317023027;1.125;2.523630242598684;3;1.2707242965698242;1.125;0.8197336196899414;0.65625;2.0904579162597656;1.84375;1.249285246196546;1.125;0.3996726588199013;0.421875;1.6489579050164473;1.5;0.7202926635742187;0.26882171630859375;0.6877700805664062;0.5625;1.408062744140625;1.5;1.009209738837348;0.87890625;0.5465450286865234;0.5625;1.5557547675238714;1.59375;1.1799236644398083;1.125;0.6802988919344816;0.65625;1.8602225563742898;1.59375
